,0
209,2.0
210,3.0
211,2.0
212,4.0
213,2.0
214,3.0
215,3.0
216,4.0
217,1.0
218,2.0
219,2.0
220,3.0
221,3.0
222,3.0
223,3.0
224,3.0
225,3.0
226,2.0
227,4.0
228,4.0
229,3.0
230,1.0
231,1.0
232,7.0
233,2.0
234,3.0
235,1.0
236,1.0
237,1.0
238,4.0
239,1.0
240,4.0
241,2.0
242,7.0
243,1.0
244,1.0
245,1.0
246,5.0
247,1.0
248,1.0
249,4.0
250,2.0
251,4.0
252,2.0
253,5.0
254,5.0
255,3.0
256,2.0
257,3.0
258,4.0
259,1.0
260,4.0
261,5.0
262,3.0
263,1.0
264,1.0
265,2.0
266,3.0
267,3.0
268,3.0
269,1.0
270,3.0
271,1.0
272,3.0
273,3.0
274,5.0
275,1.0
276,1.0
277,1.0
278,2.0
279,4.0
280,1.0
281,2.0
282,4.0
283,2.0
284,4.0
285,3.0
286,5.0
287,3.0
288,7.0
289,4.0
290,1.0
291,3.0
292,3.0
293,3.0
294,1.0
295,2.0
296,2.0
297,5.0
298,1.0
299,5.0
300,4.0
301,1.0
302,4.0
303,2.0
304,7.0
305,1.0
306,1.0
307,4.0
308,2.0
309,2.0
310,1.0
311,4.0
312,1.0
313,4.0
314,5.0
315,4.0
316,4.0
317,4.0
318,3.0
319,2.0
320,2.0
321,1.0
322,6.0
323,3.0
324,1.0
325,3.0
326,1.0
327,2.0
328,3.0
329,2.0
330,4.0
331,3.0
332,1.0
333,5.0
334,2.0
335,1.0
336,2.0
337,4.0
338,1.0
339,1.0
340,2.0
341,1.0
342,2.0
343,2.0
344,5.0
345,4.0
346,3.0
347,7.0
348,1.0
349,2.0
350,1.0
351,4.0
352,3.0
353,1.0
354,1.0
355,3.0
356,4.0
357,5.0
358,4.0
359,3.0
360,1.0
361,3.0
362,2.0
363,4.0
364,4.0
365,3.0
366,1.0
367,3.0
368,5.0
369,4.0
370,1.0
371,3.0
372,2.0
373,4.0
374,7.0
375,3.0
376,2.0
377,4.0
378,4.0
379,2.0
380,3.0
381,3.0
382,1.0
383,4.0
384,1.0
385,2.0
386,1.0
387,1.0
388,2.0
389,4.0
390,4.0
391,4.0
392,5.0
393,4.0
394,5.0
395,2.0
396,4.0
397,3.0
398,1.0
399,3.0
400,2.0
401,3.0
402,1.0
403,2.0
404,5.0
405,1.0
406,2.0
407,3.0
408,3.0
409,2.0
410,1.0
411,1.0
412,3.0
413,5.0
414,1.0
415,1.0
416,4.0
417,2.0
418,4.0
419,1.0
420,2.0
421,1.0
422,2.0
423,1.0
424,3.0
425,2.0
426,3.0
427,3.0
428,1.0
429,3.0
430,3.0
431,4.0
432,5.0
433,2.0
434,2.0
435,2.0
436,5.0
437,4.0
438,1.0
439,4.0
440,2.0
441,2.0
442,2.0
443,4.0
444,2.0
445,2.0
446,5.0
447,3.0
448,1.0
449,1.0
450,6.0
451,4.0
452,4.0
453,1.0
454,2.0
455,2.0
456,2.0
457,2.0
458,1.0
459,5.0
460,1.0
461,4.0
462,2.0
463,4.0
464,3.0
465,1.0
466,1.0
467,1.0
468,4.0
469,5.0
470,3.0
471,2.0
472,2.0
473,3.0
474,3.0
475,1.0
476,2.0
477,2.0
478,2.0
479,2.0
480,1.0
481,2.0
482,2.0
483,5.0
484,3.0
485,1.0
486,2.0
487,5.0
488,3.0
489,6.0
490,1.0
491,3.0
492,3.0
493,1.0
494,1.0
495,1.0
496,3.0
497,5.0
498,3.0
499,1.0
500,4.0
501,3.0
502,1.0
503,3.0
504,2.0
505,1.0
506,3.0
507,3.0
508,4.0
509,1.0
510,3.0
511,2.0
512,2.0
513,1.0
514,3.0
515,1.0
516,6.0
517,2.0
518,2.0
519,3.0
520,2.0
521,1.0
522,1.0
523,3.0
524,1.0
525,5.0
526,1.0
527,4.0
528,2.0
529,6.0
530,2.0
531,1.0
532,1.0
533,2.0
534,2.0
535,5.0
536,4.0
537,3.0
538,6.0
539,5.0
540,3.0
541,4.0
542,3.0
543,6.0
544,2.0
545,3.0
546,3.0
547,2.0
548,3.0
549,1.0
550,4.0
551,4.0
552,2.0
553,1.0
554,1.0
555,2.0
556,1.0
557,1.0
558,3.0
559,3.0
560,6.0
561,1.0
562,1.0
563,6.0
564,3.0
565,2.0
566,4.0
567,3.0
568,3.0
569,1.0
570,1.0
571,3.0
572,3.0
573,4.0
574,3.0
575,1.0
576,1.0
577,2.0
578,1.0
579,1.0
580,6.0
581,1.0
582,2.0
583,5.0
584,1.0
585,3.0
586,5.0
587,3.0
588,3.0
589,6.0
590,5.0
591,2.0
592,1.0
593,1.0
594,2.0
595,3.0
596,1.0
597,2.0
598,4.0
599,5.0
600,3.0
601,3.0
602,3.0
603,3.0
604,1.0
605,2.0
606,1.0
607,6.0
608,2.0
609,2.0
610,5.0
611,3.0
612,5.0
613,1.0
614,1.0
615,2.0
616,2.0
617,2.0
618,4.0
619,2.0
620,3.0
621,4.0
622,2.0
623,2.0
624,4.0
625,1.0
626,1.0
627,3.0
628,4.0
629,4.0
630,1.0
631,4.0
632,3.0
633,5.0
634,4.0
635,4.0
636,3.0
637,3.0
638,4.0
639,6.0
640,2.0
641,4.0
642,4.0
643,4.0
644,3.0
645,1.0
646,1.0
647,2.0
648,2.0
649,1.0
650,2.0
651,1.0
652,1.0
653,1.0
654,1.0
655,3.0
656,3.0
657,4.0
658,5.0
659,6.0
660,4.0
661,1.0
662,3.0
663,1.0
664,4.0
665,1.0
666,4.0
667,4.0
668,3.0
669,1.0
670,3.0
671,2.0
672,4.0
673,1.0
674,4.0
675,1.0
676,2.0
677,2.0
678,2.0
679,2.0
680,4.0
681,3.0
682,2.0
683,6.0
684,1.0
685,3.0
686,2.0
687,4.0
688,1.0
689,4.0
690,1.0
691,2.0
692,1.0
693,3.0
694,4.0
695,2.0
696,1.0
697,3.0
698,6.0
699,1.0
700,1.0
701,4.0
702,4.0
703,3.0
704,3.0
705,4.0
706,7.0
707,4.0
708,2.0
709,2.0
710,2.0
711,2.0
712,1.0
713,3.0
714,3.0
715,1.0
716,1.0
717,2.0
718,4.0
719,1.0
720,2.0
721,1.0
722,3.0
723,1.0
724,2.0
725,6.0
726,1.0
727,4.0
728,4.0
729,3.0
730,2.0
731,3.0
732,1.0
733,3.0
734,3.0
735,4.0
736,2.0
737,4.0
738,3.0
739,2.0
740,1.0
741,1.0
742,3.0
743,8.0
744,3.0
745,4.0
746,3.0
747,1.0
748,8.0
749,4.0
750,4.0
751,1.0
752,6.0
753,4.0
754,1.0
755,1.0
756,5.0
757,2.0
758,3.0
759,1.0
760,3.0
761,2.0
762,2.0
763,2.0
764,4.0
765,2.0
766,4.0
767,2.0
768,2.0
769,3.0
770,4.0
771,3.0
772,2.0
773,2.0
774,1.0
775,2.0
776,1.0
777,5.0
778,3.0
779,3.0
780,3.0
781,3.0
782,4.0
783,1.0
784,2.0
785,1.0
786,1.0
787,1.0
788,2.0
789,5.0
790,2.0
791,2.0
792,1.0
793,2.0
794,1.0
795,4.0
796,2.0
797,4.0
798,2.0
799,1.0
800,2.0
801,4.0
802,4.0
803,3.0
804,1.0
805,3.0
806,2.0
807,4.0
808,3.0
809,4.0
810,3.0
811,1.0
812,2.0
813,1.0
814,2.0
815,6.0
816,1.0
817,3.0
818,3.0
819,1.0
820,2.0
821,3.0
822,1.0
823,5.0
824,3.0
825,1.0
826,3.0
827,3.0
828,3.0
829,1.0
830,1.0
831,4.0
832,2.0
833,2.0
834,1.0
835,4.0
836,3.0
837,1.0
838,3.0
839,1.0
840,1.0
841,3.0
842,4.0
843,3.0
844,4.0
845,1.0
846,1.0
847,3.0
848,1.0
849,1.0
850,3.0
851,3.0
852,4.0
853,1.0
854,3.0
855,1.0
856,1.0
857,1.0
858,2.0
859,1.0
860,4.0
861,1.0
862,5.0
863,1.0
864,2.0
865,4.0
866,1.0
867,3.0
868,2.0
869,6.0
870,3.0
871,4.0
872,1.0
873,2.0
874,4.0
875,3.0
876,1.0
877,2.0
878,3.0
879,1.0
880,1.0
881,4.0
882,4.0
883,4.0
884,4.0
885,2.0
886,5.0
887,2.0
888,4.0
889,2.0
890,3.0
891,1.0
892,3.0
893,2.0
894,3.0
895,1.0
896,2.0
897,4.0
898,3.0
899,3.0
900,2.0
901,4.0
902,1.0
903,3.0
904,2.0
905,1.0
906,3.0
907,1.0
908,3.0
909,1.0
910,1.0
911,4.0
912,1.0
913,3.0
914,5.0
915,4.0
916,4.0
917,4.0
918,1.0
919,4.0
920,4.0
921,5.0
922,4.0
923,5.0
924,3.0
925,1.0
926,1.0
927,3.0
928,4.0
929,6.0
930,4.0
931,5.0
932,2.0
933,3.0
934,2.0
935,3.0
936,6.0
937,6.0
938,3.0
939,2.0
940,2.0
941,2.0
942,4.0
943,3.0
944,5.0
945,4.0
946,3.0
947,5.0
948,3.0
949,3.0
950,1.0
951,1.0
952,3.0
953,6.0
954,3.0
955,5.0
956,2.0
957,4.0
958,1.0
959,3.0
960,4.0
961,1.0
962,3.0
963,2.0
964,1.0
965,1.0
966,1.0
967,5.0
968,1.0
969,6.0
970,5.0
971,2.0
972,2.0
973,1.0
974,3.0
975,2.0
976,1.0
977,5.0
978,3.0
979,4.0
980,3.0
981,1.0
982,2.0
983,3.0
984,5.0
985,2.0
986,3.0
987,3.0
988,3.0
989,3.0
990,2.0
991,1.0
992,3.0
993,1.0
994,2.0
995,1.0
996,4.0
997,5.0
998,4.0
999,1.0
1000,1.0
1001,1.0
1002,3.0
1003,1.0
1004,4.0
1005,3.0
1006,1.0
1007,2.0
1008,1.0
1009,2.0
1010,1.0
1011,4.0
1012,2.0
1013,3.0
1014,2.0
1015,3.0
1016,3.0
1017,3.0
1018,5.0
1019,1.0
1020,4.0
1021,3.0
1022,1.0
1023,3.0
1024,5.0
1025,3.0
1026,5.0
1027,1.0
1028,5.0
1029,2.0
1030,4.0
1031,1.0
1032,1.0
1033,1.0
1034,5.0
1035,1.0
1036,3.0
1037,4.0
1038,1.0
1039,4.0
1040,3.0
1041,3.0
1042,3.0
1043,3.0
1044,4.0
1045,1.0
1046,6.0
1047,6.0
1048,4.0
1049,3.0
1050,2.0
1051,1.0
1052,2.0
1053,2.0
1054,2.0
1055,1.0
1056,4.0
1057,3.0
1058,4.0
1059,3.0
1060,5.0
1061,1.0
1062,4.0
1063,4.0
1064,4.0
1065,4.0
1066,5.0
1067,2.0
1068,3.0
1069,4.0
1070,3.0
1071,3.0
1072,3.0
1073,1.0
1074,3.0
1075,2.0
1076,2.0
1077,5.0
1078,4.0
1079,1.0
1080,3.0
1081,1.0
1082,3.0
1083,3.0
1084,2.0
1085,1.0
1086,1.0
1087,4.0
1088,3.0
1089,4.0
1090,1.0
1091,4.0
1092,4.0
1093,3.0
1094,4.0
1095,1.0
1096,1.0
1097,5.0
1098,3.0
1099,1.0
1100,1.0
1101,4.0
1102,1.0
1103,2.0
1104,3.0
1105,1.0
1106,2.0
1107,5.0
1108,2.0
1109,3.0
1110,5.0
1111,2.0
1112,4.0
1113,2.0
1114,4.0
1115,2.0
1116,4.0
1117,5.0
1118,2.0
1119,3.0
1120,2.0
1121,1.0
1122,4.0
1123,4.0
1124,3.0
1125,1.0
1126,2.0
1127,2.0
1128,1.0
1129,4.0
1130,2.0
1131,1.0
1132,3.0
1133,5.0
1134,2.0
1135,1.0
1136,3.0
1137,2.0
1138,3.0
1139,4.0
1140,6.0
1141,1.0
1142,1.0
1143,1.0
1144,2.0
1145,1.0
1146,4.0
1147,1.0
1148,1.0
1149,3.0
1150,4.0
1151,2.0
1152,1.0
1153,3.0
1154,2.0
1155,3.0
1156,2.0
1157,2.0
1158,4.0
1159,2.0
1160,1.0
1161,1.0
1162,4.0
1163,3.0
1164,2.0
1165,1.0
1166,1.0
1167,2.0
1168,4.0
1169,5.0
1170,4.0
1171,1.0
1172,3.0
1173,3.0
1174,1.0
1175,4.0
1176,5.0
1177,3.0
1178,4.0
1179,3.0
1180,3.0
1181,4.0
1182,1.0
1183,1.0
1184,3.0
1185,1.0
1186,1.0
1187,1.0
1188,1.0
1189,2.0
1190,2.0
1191,1.0
1192,1.0
1193,2.0
1194,4.0
1195,7.0
1196,3.0
1197,3.0
1198,3.0
1199,2.0
1200,5.0
1201,3.0
1202,1.0
1203,1.0
1204,5.0
1205,3.0
1206,1.0
1207,3.0
1208,3.0
1209,1.0
1210,1.0
1211,4.0
1212,4.0
1213,3.0
1214,1.0
1215,3.0
1216,2.0
1217,4.0
1218,4.0
1219,1.0
1220,3.0
1221,4.0
1222,1.0
1223,3.0
1224,4.0
1225,4.0
1226,1.0
1227,1.0
1228,5.0
1229,1.0
1230,5.0
1231,2.0
1232,1.0
1233,4.0
1234,1.0
1235,4.0
1236,3.0
1237,3.0
1238,1.0
1239,3.0
1240,5.0
1241,3.0
1242,1.0
1243,5.0
1244,2.0
1245,1.0
1246,3.0
1247,2.0
1248,2.0
1249,1.0
1250,5.0
1251,1.0
1252,3.0
1253,5.0
1254,4.0
1255,4.0
1256,1.0
1257,2.0
1258,2.0
1259,4.0
1260,1.0
1261,5.0
1262,1.0
1263,3.0
1264,2.0
1265,2.0
1266,2.0
1267,3.0
1268,4.0
1269,1.0
1270,4.0
1271,2.0
1272,5.0
1273,4.0
1274,1.0
1275,1.0
1276,2.0
1277,3.0
1278,3.0
1279,1.0
1280,1.0
1281,3.0
1282,1.0
1283,1.0
1284,1.0
1285,1.0
1286,3.0
1287,5.0
1288,3.0
1289,4.0
1290,2.0
1291,1.0
1292,3.0
1293,3.0
1294,5.0
1295,6.0
1296,7.0
1297,1.0
1298,5.0
1299,6.0
1300,2.0
1301,4.0
1302,2.0
1303,1.0
1304,1.0
1305,1.0
1306,5.0
1307,2.0
1308,4.0
1309,1.0
1310,3.0
1311,3.0
1312,1.0
1313,3.0
1314,3.0
1315,1.0
1316,3.0
1317,5.0
1318,2.0
1319,2.0
1320,3.0
1321,3.0
1322,1.0
1323,4.0
1324,2.0
1325,4.0
1326,3.0
1327,2.0
1328,2.0
1329,5.0
1330,3.0
1331,1.0
1332,1.0
1333,3.0
1334,4.0
1335,3.0
1336,1.0
1337,1.0
1338,3.0
1339,3.0
1340,5.0
1341,2.0
1342,1.0
1343,3.0
1344,3.0
1345,3.0
1346,1.0
1347,4.0
1348,4.0
1349,2.0
1350,4.0
1351,3.0
1352,2.0
1353,2.0
1354,2.0
1355,5.0
1356,4.0
1357,3.0
1358,3.0
1359,4.0
1360,1.0
1361,2.0
1362,4.0
1363,2.0
1364,5.0
1365,4.0
1366,6.0
1367,3.0
1368,5.0
1369,1.0
1370,1.0
1371,1.0
1372,2.0
1373,1.0
1374,4.0
1375,1.0
1376,3.0
1377,2.0
1378,2.0
1379,1.0
1380,5.0
1381,2.0
1382,2.0
1383,1.0
1384,4.0
1385,1.0
1386,2.0
1387,2.0
1388,1.0
1389,3.0
1390,2.0
1391,4.0
1392,5.0
1393,2.0
1394,2.0
1395,1.0
1396,2.0
1397,3.0
1398,1.0
1399,3.0
1400,3.0
1401,3.0
1402,1.0
1403,3.0
1404,2.0
1405,5.0
1406,2.0
1407,5.0
1408,4.0
1409,1.0
1410,3.0
1411,5.0
1412,3.0
1413,3.0
1414,1.0
1415,4.0
1416,2.0
1417,1.0
1418,1.0
1419,1.0
1420,2.0
1421,1.0
1422,3.0
1423,2.0
1424,2.0
1425,3.0
1426,2.0
1427,2.0
1428,2.0
1429,2.0
1430,3.0
1431,4.0
1432,2.0
1433,4.0
1434,2.0
1435,4.0
1436,4.0
1437,5.0
1438,6.0
1439,2.0
1440,1.0
1441,5.0
1442,3.0
1443,3.0
1444,4.0
1445,1.0
1446,3.0
1447,4.0
1448,4.0
1449,4.0
1450,2.0
1451,3.0
1452,3.0
1453,3.0
1454,3.0
1455,3.0
1456,4.0
1457,1.0
1458,2.0
1459,2.0
1460,2.0
1461,3.0
1462,5.0
1463,1.0
